region,sector,0
SWZ,Agriculture,3.292338687375043e-06
SWZ,Fishing,2.6404420855365344e-07
SWZ,Mining and Quarrying,4.754176824376944e-09
SWZ,Food & Beverages,3.633707168276151e-06
SWZ,Textiles and Wearing Apparel,3.1401965906128546e-07
SWZ,Wood and Paper,9.79605102710472e-07
SWZ,"Petroleum, Chemical and Non-Metallic Mineral Products",1.0858773602862295e-06
SWZ,Metal Products,8.18376603824712e-07
SWZ,Electrical and Machinery,9.809244194758504e-07
SWZ,Transport Equipment,2.5623711273189145e-07
SWZ,Other Manufacturing,2.5371253600660633e-07
SWZ,Recycling,7.657023157801248e-08
SWZ,"Electricity, Gas and Water",1.8237318544382925e-08
SWZ,Construction,4.447730108401112e-07
SWZ,Maintenance and Repair,2.835057129124552e-07
SWZ,Wholesale Trade,2.2841792193825385e-06
SWZ,Retail Trade,7.629082803842666e-07
SWZ,Hotels and Restraurants,5.067368100399869e-07
SWZ,Transport,3.104127205920758e-07
SWZ,Post and Telecommunications,2.0171383345446929e-07
SWZ,Finacial Intermediation and Business Activities,1.142550302261894e-06
SWZ,Public Administration,3.445534307022779e-07
SWZ,"Education, Health and Other Services",1.0504784449840908e-06
SWZ,Private Households,1.4942350634925835e-07
SWZ,Others,2.0594058436041054e-08
SWZ,Re-export & Re-import,2.0503008310322956e-13
GHA,Agriculture,0.0003143514937048246
GHA,Fishing,7.249927164803102e-06
GHA,Mining and Quarrying,1.0398242773877662e-05
GHA,Food & Beverages,3.729941145318139e-05
GHA,Textiles and Wearing Apparel,1.2345394451276367e-06
GHA,Wood and Paper,7.099604162858546e-05
GHA,"Petroleum, Chemical and Non-Metallic Mineral Products",1.1598117851935106e-05
GHA,Metal Products,7.6521382539943e-06
GHA,Electrical and Machinery,6.190798605633818e-06
GHA,Transport Equipment,7.364821257694325e-07
GHA,Other Manufacturing,1.821284838842019e-06
GHA,Recycling,1.43372192105144e-07
GHA,"Electricity, Gas and Water",8.04305524342943e-06
GHA,Construction,1.1116864439091068e-05
GHA,Maintenance and Repair,1.8782866106396454e-06
GHA,Wholesale Trade,5.511212586149897e-05
GHA,Retail Trade,4.759771817621452e-06
GHA,Hotels and Restraurants,1.289676844115541e-05
GHA,Transport,5.9866928872716115e-05
GHA,Post and Telecommunications,1.8581714023430426e-05
GHA,Finacial Intermediation and Business Activities,4.0621420724833976e-05
GHA,Public Administration,5.058114660322258e-07
GHA,"Education, Health and Other Services",6.477418829118449e-06
GHA,Private Households,1.8577081893803007e-07
GHA,Others,1.5053226919189945e-07
GHA,Re-export & Re-import,1.9516423987065195e-10
TJK,Agriculture,1.2843422262048056e-06
TJK,Fishing,9.023367737938626e-08
TJK,Mining and Quarrying,5.3742018133749915e-09
TJK,Food & Beverages,7.661114907053174e-08
TJK,Textiles and Wearing Apparel,1.9655281866845138e-07
TJK,Wood and Paper,1.2410458926051375e-07
TJK,"Petroleum, Chemical and Non-Metallic Mineral Products",2.392868099509412e-07
TJK,Metal Products,2.787919381821042e-07
TJK,Electrical and Machinery,2.0669350558090043e-07
TJK,Transport Equipment,4.656541955884265e-08
TJK,Other Manufacturing,4.96181811135648e-08
TJK,Recycling,4.739701490401713e-09
TJK,"Electricity, Gas and Water",1.3077203238620474e-08
TJK,Construction,5.983742694591918e-07
TJK,Maintenance and Repair,6.898577163044524e-08
TJK,Wholesale Trade,4.522324594936444e-07
TJK,Retail Trade,1.6064644859420153e-07
TJK,Hotels and Restraurants,1.0237541972559725e-07
TJK,Transport,8.757193834721232e-07
TJK,Post and Telecommunications,2.66731141016125e-07
TJK,Finacial Intermediation and Business Activities,2.312242150894241e-07
TJK,Public Administration,1.9289212188506044e-08
TJK,"Education, Health and Other Services",4.9640908809699584e-08
TJK,Private Households,8.488725896371534e-09
TJK,Others,2.5788554539457067e-09
TJK,Re-export & Re-import,7.234601229646718e-09
KHM,Agriculture,1.5190821261059572e-05
KHM,Fishing,2.1420921941494666e-06
KHM,Mining and Quarrying,3.8209441606774673e-07
KHM,Food & Beverages,8.852856966088156e-07
KHM,Textiles and Wearing Apparel,3.3042996468190974e-05
KHM,Wood and Paper,3.0363127344137835e-06
KHM,"Petroleum, Chemical and Non-Metallic Mineral Products",4.387299417969817e-06
KHM,Metal Products,2.2881930053279634e-06
KHM,Electrical and Machinery,3.2210563660879274e-06
KHM,Transport Equipment,7.57187748339479e-07
KHM,Other Manufacturing,1.1890934412410978e-06
KHM,Recycling,1.7594163107595285e-07
KHM,"Electricity, Gas and Water",9.47790813821226e-07
KHM,Construction,1.5064458417285873e-05
KHM,Maintenance and Repair,1.4952557032533722e-06
KHM,Wholesale Trade,1.9053258090256105e-05
KHM,Retail Trade,2.7130137797363615e-06
KHM,Hotels and Restraurants,7.382776316024818e-06
KHM,Transport,2.084676999037547e-05
KHM,Post and Telecommunications,1.048162281690668e-05
KHM,Finacial Intermediation and Business Activities,8.491385612914837e-06
KHM,Public Administration,1.111694723743895e-06
KHM,"Education, Health and Other Services",5.008077027811083e-06
KHM,Private Households,3.677495024112826e-07
KHM,Others,1.2037419873666214e-07
KHM,Re-export & Re-import,1.0692815909803348e-10
PAK,Agriculture,0.00011569320758749281
PAK,Fishing,2.0772749918448696e-06
PAK,Mining and Quarrying,3.518300201109933e-06
PAK,Food & Beverages,7.816674957731268e-06
PAK,Textiles and Wearing Apparel,5.138079686400753e-05
PAK,Wood and Paper,2.13650057222718e-05
PAK,"Petroleum, Chemical and Non-Metallic Mineral Products",4.341858534325703e-05
PAK,Metal Products,1.689671957363326e-05
PAK,Electrical and Machinery,1.6160994208963957e-05
PAK,Transport Equipment,1.7367780732791262e-06
PAK,Other Manufacturing,1.9756603727734196e-05
PAK,Recycling,1.2835142486871526e-07
PAK,"Electricity, Gas and Water",1.2022913352295077e-05
PAK,Construction,8.626322226054665e-06
PAK,Maintenance and Repair,3.5419439829506615e-06
PAK,Wholesale Trade,7.199875979957651e-05
PAK,Retail Trade,6.314707099774318e-06
PAK,Hotels and Restraurants,6.435830188170134e-06
PAK,Transport,6.86616063541298e-05
PAK,Post and Telecommunications,2.6284312326245322e-05
PAK,Finacial Intermediation and Business Activities,5.969373702230406e-05
PAK,Public Administration,1.7095186315085266e-06
PAK,"Education, Health and Other Services",5.837567411402918e-06
PAK,Private Households,5.746262307944418e-08
PAK,Others,1.4492199799359142e-06
PAK,Re-export & Re-import,3.12258138550597e-11
PHL,Agriculture,1.5357215267188605e-05
PHL,Fishing,1.667435648887717e-06
PHL,Mining and Quarrying,5.77276582375262e-06
PHL,Food & Beverages,1.2561730393374871e-05
PHL,Textiles and Wearing Apparel,3.391326727311371e-05
PHL,Wood and Paper,1.584408888164831e-05
PHL,"Petroleum, Chemical and Non-Metallic Mineral Products",1.6457343428001845e-05
PHL,Metal Products,1.232635206348699e-05
PHL,Electrical and Machinery,0.0003418522493401745
PHL,Transport Equipment,2.303947885727465e-06
PHL,Other Manufacturing,1.6084490693381263e-05
PHL,Recycling,3.3406650663126e-06
PHL,"Electricity, Gas and Water",2.039602059607506e-05
PHL,Construction,3.564852079959327e-06
PHL,Maintenance and Repair,5.1718421021821254e-06
PHL,Wholesale Trade,6.665920408865789e-05
PHL,Retail Trade,0.0001482593747573879
PHL,Hotels and Restraurants,6.743560607981366e-05
PHL,Transport,4.3677570033614206e-05
PHL,Post and Telecommunications,1.1283488007117152e-05
PHL,Finacial Intermediation and Business Activities,0.00011658093099583355
PHL,Public Administration,1.4361887789896943e-10
PHL,"Education, Health and Other Services",4.225449223361384e-05
PHL,Private Households,1.486650974188828e-10
PHL,Others,4.2666979884412224e-08
PHL,Re-export & Re-import,4.65153269854132e-14
LAO,Agriculture,7.0641039655441625e-06
LAO,Fishing,4.403385337287166e-07
LAO,Mining and Quarrying,2.4146284275643777e-06
LAO,Food & Beverages,3.2610966640340363e-07
LAO,Textiles and Wearing Apparel,9.083627795950292e-06
LAO,Wood and Paper,1.4464523186657292e-06
LAO,"Petroleum, Chemical and Non-Metallic Mineral Products",1.3620943696435484e-06
LAO,Metal Products,5.6189227260097e-07
LAO,Electrical and Machinery,6.313785602322084e-07
LAO,Transport Equipment,1.5535213982301377e-07
LAO,Other Manufacturing,3.3214809667682797e-07
LAO,Recycling,1.820868955880634e-08
LAO,"Electricity, Gas and Water",2.925513075023376e-06
LAO,Construction,1.9693724399553285e-06
LAO,Maintenance and Repair,5.960206352311511e-07
LAO,Wholesale Trade,1.182952814890889e-05
LAO,Retail Trade,1.5709118707294185e-06
LAO,Hotels and Restraurants,2.359719865974907e-06
LAO,Transport,3.7276346732091354e-06
LAO,Post and Telecommunications,1.8567026488795226e-06
LAO,Finacial Intermediation and Business Activities,4.545775915384112e-06
LAO,Public Administration,4.2345108658411664e-07
LAO,"Education, Health and Other Services",2.1856425902745873e-06
LAO,Private Households,1.577364209346338e-07
LAO,Others,3.847716013676101e-08
LAO,Re-export & Re-import,1.022365893404065e-09
COG,Agriculture,6.454402039497129e-06
COG,Fishing,3.3467795291309253e-07
COG,Mining and Quarrying,7.292909913976841e-06
COG,Food & Beverages,1.4883446004445578e-07
COG,Textiles and Wearing Apparel,1.0631802540909761e-07
COG,Wood and Paper,1.1338074406242044e-06
COG,"Petroleum, Chemical and Non-Metallic Mineral Products",7.236053142942514e-07
COG,Metal Products,7.224692757766008e-07
COG,Electrical and Machinery,1.2176532060104148e-06
COG,Transport Equipment,1.960911324379726e-07
COG,Other Manufacturing,1.53850618516238e-07
COG,Recycling,2.1063448923247154e-08
COG,"Electricity, Gas and Water",1.1482128595528519e-06
COG,Construction,1.2860700651948023e-06
COG,Maintenance and Repair,3.066788010002894e-07
COG,Wholesale Trade,3.716652618512694e-06
COG,Retail Trade,8.463186895657026e-07
COG,Hotels and Restraurants,8.573515866611323e-07
COG,Transport,5.412478381731191e-06
COG,Post and Telecommunications,2.1668593529466943e-06
COG,Finacial Intermediation and Business Activities,3.7789267296136553e-06
COG,Public Administration,1.6716466012411954e-07
COG,"Education, Health and Other Services",8.087813471791018e-07
COG,Private Households,9.369061670667573e-08
COG,Others,3.167219333507192e-08
COG,Re-export & Re-import,3.960456792500018e-11
TUN,Agriculture,7.678345564719782e-05
TUN,Fishing,1.9583767600897994e-05
TUN,Mining and Quarrying,2.0907867819696297e-05
TUN,Food & Beverages,1.440722306175644e-05
TUN,Textiles and Wearing Apparel,0.00011155575368287244
TUN,Wood and Paper,4.004401001432144e-05
TUN,"Petroleum, Chemical and Non-Metallic Mineral Products",8.786230290860633e-05
TUN,Metal Products,3.637705344342419e-05
TUN,Electrical and Machinery,0.00013023720523887172
TUN,Transport Equipment,3.469922082710464e-05
TUN,Other Manufacturing,2.0816446286334692e-05
TUN,Recycling,2.410184459870973e-07
TUN,"Electricity, Gas and Water",2.834841664661806e-05
TUN,Construction,2.6789393062295864e-05
TUN,Maintenance and Repair,4.6641270274147055e-06
TUN,Wholesale Trade,0.0001646217948039546
TUN,Retail Trade,1.848277615055257e-05
TUN,Hotels and Restraurants,2.2700361423877076e-05
TUN,Transport,0.00017791395271701932
TUN,Post and Telecommunications,6.876093155436426e-05
TUN,Finacial Intermediation and Business Activities,0.00010459271897913794
TUN,Public Administration,1.7880868967481558e-06
TUN,"Education, Health and Other Services",3.60427484876373e-05
TUN,Private Households,1.7085885957741892e-07
TUN,Others,1.1919680983163849e-06
TUN,Re-export & Re-import,2.2960716346388428e-11
BEN,Agriculture,1.3690211927722365e-05
BEN,Fishing,7.699514370257524e-07
BEN,Mining and Quarrying,7.643684980215564e-08
BEN,Food & Beverages,2.634936716760171e-07
BEN,Textiles and Wearing Apparel,3.8946072122869415e-07
BEN,Wood and Paper,1.456559916006512e-06
BEN,"Petroleum, Chemical and Non-Metallic Mineral Products",1.0372429421112105e-06
BEN,Metal Products,6.532671621597028e-07
BEN,Electrical and Machinery,8.701016272988497e-07
BEN,Transport Equipment,1.5900200520626682e-07
BEN,Other Manufacturing,2.164280337832433e-07
BEN,Recycling,4.469069198802981e-08
BEN,"Electricity, Gas and Water",1.7381719187867167e-07
BEN,Construction,1.475499144140729e-06
BEN,Maintenance and Repair,5.523767583391019e-07
BEN,Wholesale Trade,3.1372387672543487e-06
BEN,Retail Trade,1.271563104221495e-06
BEN,Hotels and Restraurants,1.0189740537447337e-06
BEN,Transport,5.052688441826727e-06
BEN,Post and Telecommunications,2.707416892614618e-06
BEN,Finacial Intermediation and Business Activities,1.841423902160769e-06
BEN,Public Administration,4.245509448652942e-07
BEN,"Education, Health and Other Services",1.3554921463770454e-06
BEN,Private Households,4.7869143579182474e-08
BEN,Others,3.7181677296569596e-08
BEN,Re-export & Re-import,1.1516840583713842e-10
NIC,Agriculture,1.3197818286889671e-05
NIC,Fishing,8.292645612156751e-07
NIC,Mining and Quarrying,4.85931143033318e-07
NIC,Food & Beverages,3.7247301397479164e-06
NIC,Textiles and Wearing Apparel,4.892706906896836e-07
NIC,Wood and Paper,1.292471293590238e-06
NIC,"Petroleum, Chemical and Non-Metallic Mineral Products",1.6547301263177382e-06
NIC,Metal Products,1.3901135729823466e-06
NIC,Electrical and Machinery,1.2766820973660804e-06
NIC,Transport Equipment,2.9630145385924097e-07
NIC,Other Manufacturing,4.148533431947982e-07
NIC,Recycling,2.5225082527639738e-08
NIC,"Electricity, Gas and Water",1.0477962250580443e-06
NIC,Construction,1.7445465139650166e-06
NIC,Maintenance and Repair,6.346213107597942e-07
NIC,Wholesale Trade,6.112467086404767e-06
NIC,Retail Trade,1.3472870251010625e-06
NIC,Hotels and Restraurants,2.23280431010898e-06
NIC,Transport,4.770726416253004e-06
NIC,Post and Telecommunications,2.5042815148199783e-06
NIC,Finacial Intermediation and Business Activities,3.65449808625363e-06
NIC,Public Administration,4.4929453102317455e-07
NIC,"Education, Health and Other Services",2.4723957223599655e-06
NIC,Private Households,2.759251557610401e-07
NIC,Others,3.413953883287568e-08
NIC,Re-export & Re-import,2.7156556442541746e-11
SEN,Agriculture,2.4060927811546694e-05
SEN,Fishing,6.920518921325744e-06
SEN,Mining and Quarrying,1.0343501347660178e-06
SEN,Food & Beverages,1.813773508091878e-05
SEN,Textiles and Wearing Apparel,1.7626691610250081e-06
SEN,Wood and Paper,4.064043277200692e-06
SEN,"Petroleum, Chemical and Non-Metallic Mineral Products",4.262830486216804e-06
SEN,Metal Products,2.7967157670756506e-06
SEN,Electrical and Machinery,3.2722138481509345e-06
SEN,Transport Equipment,6.631552824442107e-07
SEN,Other Manufacturing,1.7051373952378877e-06
SEN,Recycling,2.729613679830804e-08
SEN,"Electricity, Gas and Water",1.5877087862060837e-06
SEN,Construction,8.897883073963514e-07
SEN,Maintenance and Repair,3.781300126652316e-07
SEN,Wholesale Trade,1.232435269323998e-05
SEN,Retail Trade,1.0170450020311276e-06
SEN,Hotels and Restraurants,1.8573511646083089e-06
SEN,Transport,1.1939531730074477e-05
SEN,Post and Telecommunications,4.20748624773997e-06
SEN,Finacial Intermediation and Business Activities,5.488882570958766e-06
SEN,Public Administration,2.6844755622082316e-07
SEN,"Education, Health and Other Services",2.4228073023681658e-06
SEN,Private Households,7.074650158955162e-08
SEN,Others,4.609001778305856e-08
SEN,Re-export & Re-import,6.138751672211063e-13
LSO,Agriculture,2.3184033998653496e-07
LSO,Fishing,7.902049611519845e-08
LSO,Mining and Quarrying,6.461496425178022e-07
LSO,Food & Beverages,1.5334843748046112e-07
LSO,Textiles and Wearing Apparel,1.3140144958525576e-07
LSO,Wood and Paper,2.3337414872848565e-07
LSO,"Petroleum, Chemical and Non-Metallic Mineral Products",3.95130166540544e-07
LSO,Metal Products,2.9834162540602464e-07
LSO,Electrical and Machinery,4.341808600094164e-07
LSO,Transport Equipment,1.0972912856171636e-07
LSO,Other Manufacturing,1.3236452947242224e-07
LSO,Recycling,8.531818384739934e-09
LSO,"Electricity, Gas and Water",5.201088836434435e-07
LSO,Construction,6.388357743748331e-07
LSO,Maintenance and Repair,2.1017158218814624e-07
LSO,Wholesale Trade,1.3073321140158558e-06
LSO,Retail Trade,8.01467935346702e-07
LSO,Hotels and Restraurants,6.248398594674288e-07
LSO,Transport,7.097925342130076e-07
LSO,Post and Telecommunications,6.095839430427965e-07
LSO,Finacial Intermediation and Business Activities,1.3142700260330512e-06
LSO,Public Administration,3.049537520315062e-07
LSO,"Education, Health and Other Services",7.408851189160421e-07
LSO,Private Households,9.579835289788251e-08
LSO,Others,1.6011842171608178e-08
LSO,Re-export & Re-import,6.482139002032947e-11
JOR,Agriculture,2.8987576173393248e-06
JOR,Fishing,1.1005882487773649e-07
JOR,Mining and Quarrying,2.2488867822494206e-06
JOR,Food & Beverages,4.6456228622295824e-07
JOR,Textiles and Wearing Apparel,1.4261587536387835e-06
JOR,Wood and Paper,1.2733021652661903e-06
JOR,"Petroleum, Chemical and Non-Metallic Mineral Products",6.837397707758606e-06
JOR,Metal Products,1.974521715038665e-06
JOR,Electrical and Machinery,8.795439130337272e-06
JOR,Transport Equipment,5.085682434961345e-07
JOR,Other Manufacturing,4.2566683995465647e-07
JOR,Recycling,5.6353419423846366e-08
JOR,"Electricity, Gas and Water",5.303292965544101e-07
JOR,Construction,1.3207663461105755e-06
JOR,Maintenance and Repair,3.176421452962056e-07
JOR,Wholesale Trade,3.916765073830917e-06
JOR,Retail Trade,6.268563512800892e-07
JOR,Hotels and Restraurants,7.970077954263851e-07
JOR,Transport,4.903643468408764e-06
JOR,Post and Telecommunications,1.9407244451618946e-06
JOR,Finacial Intermediation and Business Activities,7.485533189458125e-06
JOR,Public Administration,4.79857233398144e-07
JOR,"Education, Health and Other Services",2.450735181518097e-06
JOR,Private Households,3.2935391934310774e-07
JOR,Others,6.763496401431605e-08
JOR,Re-export & Re-import,2.0683019798127578e-11
ZMB,Agriculture,1.319640492720549e-05
ZMB,Fishing,3.7826445464692386e-07
ZMB,Mining and Quarrying,1.1859371021567147e-05
ZMB,Food & Beverages,1.065914576432954e-06
ZMB,Textiles and Wearing Apparel,4.505555946660379e-07
ZMB,Wood and Paper,5.178753455467877e-07
ZMB,"Petroleum, Chemical and Non-Metallic Mineral Products",5.241756581346845e-07
ZMB,Metal Products,1.322442215870388e-06
ZMB,Electrical and Machinery,6.431753011899828e-07
ZMB,Transport Equipment,6.791672820275432e-08
ZMB,Other Manufacturing,1.0905262300576136e-07
ZMB,Recycling,8.909295322169696e-09
ZMB,"Electricity, Gas and Water",4.757802986493932e-06
ZMB,Construction,4.926987648539299e-06
ZMB,Maintenance and Repair,3.2845562870144705e-06
ZMB,Wholesale Trade,2.5375098492395453e-05
ZMB,Retail Trade,6.963914050975952e-06
ZMB,Hotels and Restraurants,1.617614977195462e-05
ZMB,Transport,7.7291519328167e-06
ZMB,Post and Telecommunications,4.019098735936071e-06
ZMB,Finacial Intermediation and Business Activities,1.1693926137104849e-05
ZMB,Public Administration,8.858274111346455e-07
ZMB,"Education, Health and Other Services",4.182367003886343e-06
ZMB,Private Households,5.01163334926988e-07
ZMB,Others,1.325909418507936e-07
